category,method,runtime_s,n_test,auroc_img
bottle,clip_only,5.220187187194824,83,0.9904761904761904
cable,clip_only,11.23551630973816,150,0.5892053973013494
capsule,clip_only,10.31125521659851,132,0.6785001994415636
carpet,clip_only,9.471005201339722,117,0.9731139646869983
grid,clip_only,4.720975875854492,78,0.7209690893901419
hazelnut,clip_only,8.771306991577148,110,0.8617857142857143
leather,clip_only,9.274067401885986,124,0.9949048913043478
metal_nut,clip_only,4.850412607192993,115,0.7702834799608993
pill,clip_only,8.641496658325195,167,0.7291325695581015
screw,clip_only,7.387844800949097,160,0.5372002459520393
tile,clip_only,7.178666591644287,117,0.9898989898989898
toothbrush,clip_only,4.834809064865112,42,0.8666666666666666
transistor,clip_only,8.558725833892822,100,0.7925
wood,clip_only,7.448094606399536,79,0.9982456140350878
zipper,clip_only,6.86928129196167,151,0.8944327731092436
