category,method,runtime_s,auroc_img,auroc_pix_cond,auroc_pix_e2e,clip_thr,flag_rate,n_masked
bottle,hybrid,69.72986221313477,0.9904761904761905,0.9788631777483897,0.967976490903902,0.010375275276601315,0.9523809523809523,63
cable,hybrid,92.54884314537048,0.5892053973013494,0.9333138673662928,0.693773991957035,0.0525665320456028,0.358695652173913,92
capsule,hybrid,92.86898565292358,0.676505783805345,0.9376720021049891,0.5823866040040155,0.05890435725450516,0.25688073394495414,109
carpet,hybrid,86.89445900917053,0.9743178170144462,0.9760214074658676,0.9741738495726279,0.011931481771171093,0.9775280898876404,89
grid,hybrid,67.18252778053284,0.7167919799498746,0.9913340821854217,0.5979342290944559,0.03249300643801689,0.631578947368421,57
hazelnut,hybrid,76.55007266998291,0.8607142857142859,0.9886457591507628,0.7886137956741404,0.0389510877430439,0.6142857142857143,70
leather,hybrid,104.79879713058472,0.9949048913043478,0.9844738253024048,0.9844738253024048,0.010516458190977573,1.0,92
metal_nut,hybrid,71.27520418167114,0.7771260997067448,0.9263400330181876,0.8883669990153336,0.024286147207021713,0.4731182795698925,93
pill,hybrid,113.62000632286072,0.731860338243317,0.8216534832546972,0.7972755640134013,0.02524791844189167,0.41134751773049644,141
screw,hybrid,93.21237540245056,0.5359704857552776,0.9529084388148699,0.540240558757461,0.021581413224339485,0.19327731092436976,119
tile,hybrid,80.68750524520874,0.98989898989899,0.9312267815579902,0.9292174353155245,0.017319824546575546,0.9880952380952381,84
toothbrush,hybrid,45.66307258605957,0.8666666666666666,0.9798232668572875,0.8157121433946324,0.04156839847564697,0.43333333333333335,30
transistor,hybrid,52.555193185806274,0.7927083333333333,0.8262744121427371,0.8629516960740717,0.022173216566443443,0.65,40
wood,hybrid,60.19250202178955,0.9982456140350878,0.9394993351294443,0.9394993351294443,0.03495115786790848,1.0,60
zipper,hybrid,104.86790776252747,0.8991596638655462,0.9140072238141888,0.7484585111847036,0.015213190577924252,0.6554621848739496,119
