category,method,runtime_s,auroc_img
bottle,clip_only,3.216627359390259,0.9904761904761905
cable,clip_only,7.280041694641113,0.5892053973013494
capsule,clip_only,6.605518579483032,0.676505783805345
carpet,clip_only,5.721017837524414,0.9743178170144462
grid,clip_only,2.5763561725616455,0.7167919799498746
hazelnut,clip_only,5.757442235946655,0.8607142857142859
leather,clip_only,5.536321401596069,0.9949048913043478
metal_nut,clip_only,3.052351951599121,0.7771260997067448
pill,clip_only,5.2022130489349365,0.731860338243317
screw,clip_only,4.231509685516357,0.5359704857552776
tile,clip_only,4.373836517333984,0.98989898989899
toothbrush,clip_only,3.311762571334839,0.8666666666666666
transistor,clip_only,5.613736391067505,0.7927083333333333
wood,clip_only,4.5866310596466064,0.9982456140350878
zipper,clip_only,3.7441186904907227,0.8991596638655462
