category,method,runtime_s,auroc_img,auroc_pix_e2e,n_masked,img_score_method,img_score_topk
bottle,dino_only,13.70104694366455,0.5817460317460317,0.9789581480724001,63,max,200
cable,dino_only,23.71280002593994,0.7661169415292354,0.9338594571456236,92,max,200
capsule,dino_only,21.327152252197266,0.6876745113681693,0.9482149569117464,109,max,200
carpet,dino_only,18.945825338363647,0.6789727126805778,0.9763693568172156,89,max,200
grid,dino_only,12.88610577583313,0.6691729323308271,0.9912632714118358,57,max,200
hazelnut,dino_only,17.789608240127563,0.6603571428571429,0.9887780094394593,70,max,200
leather,dino_only,20.06063175201416,0.48777173913043476,0.9846809383014877,92,max,200
metal_nut,dino_only,18.087095499038696,0.875366568914956,0.9404142849408044,93,max,200
pill,dino_only,26.814674139022827,0.7659574468085106,0.8450299577826949,141,max,200
screw,dino_only,24.662775993347168,0.7032178725148596,0.9474734464790727,119,max,200
tile,dino_only,18.82948613166809,0.6973304473304474,0.9309592579499446,84,max,200
toothbrush,dino_only,7.6665565967559814,0.7861111111111111,0.9863439961506963,30,max,200
transistor,dino_only,15.992902040481567,0.6654166666666665,0.8495556339639959,40,max,200
wood,dino_only,13.224656581878662,0.6885964912280702,0.9408717250829117,60,max,200
zipper,dino_only,23.852877140045166,0.8371848739495799,0.9207279548467887,119,max,200
